ID,Variant,Judge,Score,Question
47,speech_act,qwen3.5:4b,20,"Which aspect of the fence (type, location, materials, size) is unspecified?"
47,speech_act,qwen2.5:7b,85,"Which aspect of the fence (type, location, materials, size) is unspecified?"
47,speech_act_surgical,qwen3.5:4b,55,Which type of fence is being referred to in the query?
47,speech_act_surgical,qwen2.5:7b,51,Which type of fence is being referred to in the query?
48,vanilla,qwen3.5:4b,85,"What specific aspect of diversity are you interested in (e.g., cultural, gender, racial, etc.)?"
48,vanilla,qwen2.5:7b,85,"What specific aspect of diversity are you interested in (e.g., cultural, gender, racial, etc.)?"
48,speech_act,qwen3.5:4b,55,"Which aspect of diversity: history, location, reviews, or other subtopics?"
48,speech_act,qwen2.5:7b,51,"Which aspect of diversity: history, location, reviews, or other subtopics?"
48,speech_act_surgical,qwen3.5:4b,55,"Which aspect of diversity: history, location, or reviews?"
48,speech_act_surgical,qwen2.5:7b,51,"Which aspect of diversity: history, location, or reviews?"
49,vanilla,qwen3.5:4b,55,"Could you clarify which context or area you're referring to when you say ""penguins""?"
49,vanilla,qwen2.5:7b,85,"Could you clarify which context or area you're referring to when you say ""penguins""?"
49,speech_act,qwen3.5:4b,0,"Which aspect of penguins: history, location, or reviews?"
49,speech_act,qwen2.5:7b,85,"Which aspect of penguins: history, location, or reviews?"
49,speech_act_surgical,qwen3.5:4b,51,"Which aspect of penguins: species, habitat, or behavior?"
49,speech_act_surgical,qwen2.5:7b,85,"Which aspect of penguins: species, habitat, or behavior?"
50,vanilla,qwen3.5:4b,65,"Who is the artist of the song ""Love Lift Us Up Where We Belong""?"
50,vanilla,qwen2.5:7b,85,"Who is the artist of the song ""Love Lift Us Up Where We Belong""?"
50,speech_act,qwen3.5:4b,25,Which version of 'Love Lift Us Up Where We Belong' is being referred to?
50,speech_act,qwen2.5:7b,53,Which version of 'Love Lift Us Up Where We Belong' is being referred to?
50,speech_act_surgical,qwen3.5:4b,20,Which artist is credited with performing 'Love Lift Us Up' in the final round stance?
50,speech_act_surgical,qwen2.5:7b,53,Which artist is credited with performing 'Love Lift Us Up' in the final round stance?
